Network,Station,Latitude,Longitude,In_africa,connCnt,Orientation,CCF
XA,SA28,-27.8982,28.0656,1,91,1,1
XA,SA29,-26.9317,23.0349,1,88,1,1
XA,SA30,-27.0715,24.1651,1,119,1,1
XA,SA31,-26.9952,25.0209,1,119,1,1
XA,SA32,-26.8655,26.2845,1,119,1,1
XA,SA33,-26.8986,27.1793,1,91,1,1
XA,SA34,-26.8,28.1,1,91,1,1
XA,SA35,-27.0183,29.0883,1,91,1,1
XA,SA36,-26.8771,30.1249,1,91,1,1
XA,SA37,-25.9705,23.7212,1,87,1,1
XA,SA38,-25.9334,25.0846,1,119,1,1
XA,SA39,-25.8952,26.1514,1,77,1,1
XA,SA40,-25.8981,27.149,1,118,1,1
XA,SA42,-25.665,29.2223,1,90,1,1
XA,SA43,-25.7868,30.0669,1,81,1,1
XA,SA44,-26.0321,30.9022,1,91,1,1
XA,SA45,-24.8792,26.1644,1,118,1,1
XA,SA46,-24.8382,27.1092,1,119,1,1
XA,SA47,-24.8469,28.1618,1,116,1,1
XA,SA48,-24.8948,29.2163,1,91,1,1
XA,SA49,-24.9597,30.3091,1,90,1,1
XA,SA50,-23.8722,27.1662,1,113,1,1
XA,SA51,-23.8628,28.1567,1,119,1,1
XA,SA52,-23.7983,28.8975,1,0,1,0
XA,SA53,-24.1134,29.3328,1,91,1,1
XA,SA54,-23.7288,30.668,1,86,1,1
XA,SA55,-22.98,28.2981,1,88,1,1
XA,SA56,-23.0059,29.0743,1,119,1,1
XA,SA57,-22.9811,30.0202,1,119,1,1
XA,SA58,-23.518,31.3973,1,84,1,1
XA,SA59,-24.8373,24.464,1,80,1,1
XA,SA60,-23.8519,24.9594,1,80,1,1
XA,SA61,-23.9481,24.022,1,79,1,1
XA,SA62,-24.8505,25.135,1,79,1,1
XA,SA63,-23.6583,26.082,1,80,1,1
XA,SA64,-22.9694,26.2017,1,80,1,1
XA,SA65,-22.8183,27.2218,1,80,1,1
XA,SA66,-21.9005,26.3727,1,80,1,1
